본문,결과
나는 내가 호감있으면 절대 그런 제안 안할 것 같은데.. 소개팅 제안하면 그 사람은 날 이성으로 안봐서 그런거야?? 아니면 그냥 떠보는거야?,0
내가 진짜 맘에 든 사람인데ㅜㅜㅜㅜㅜ 그사람도 내가 지나가면 옆으로 고개 돌려서 쳐다보고 눈 자주 마주치고 그러눈데 원래 사람을 잘 쳐다보는 사람일까? 아니면 어느정도 신경이 쓰이니까 쳐다보는걸까?,0
소개녀 나한테 호감 있는걸까 완전 내 이상형의 여성분이랑 소개팅 했는데 만나서 여자분이 별거 아닌걸로 많이 웃기도 하고 대화도 잘 통했고 당일날 새벽 2시까지 실시간으로 카톡 주고 받고 오늘도 이어나가는 중인데 오늘은 한 한시간 텀으로 계속 답장 오는 중 애프터는 신청했는데 담주 약속 다 있다고 월화중에 약속 취소되면 바로 알려주기로 했음 어때보여,0
여자가 남자한테 밥 사달라는 건 호감 표시인가요? 사무실에 기간제 여직원이 있는데 얼마전부터 저한테 먼저 다가와 커피 사달라 밥 사달라고 하더군요 그래서 몇번 사주니 카톡으로 고맙다고 하고 다음에도 같이 먹자고 하네요 이거 그린 라이트 맞은거죠? 띠동갑 연하라서 좀 고민되는데 여자가 적극적으로 나오면 저도 받아들어야 겠어요,0
여자가 호감 있는지 알려면 어떻게 해야돼? 회사 다른부서 사람인데 친구로 만나서 최근에 내가 호감가지게 되어서 얼굴은 자주보고 회사에는 안꾸미는데 주말에 따로보니까 좀 꾸미고 나오네ㅠ,2
소개팅할 때 차로 데려다 준거면 호감 있는걸까? 난 지하철 타고 갔는데 상대방은 차타고 나왔음. 밥먹고 차마시고 갈려는데 집이 같은 방향도 아닌데 집까지 차로 데려다 줬음 이러면 나한테 호감 있는 걸까?,0
"호감 가는 사람이 있는데 그 사람도 나한테 호감이 있는거같아 피곤하다면서 어깨에 기댄다거나, 다른 사람이랑 같이 있을 때도 나한테 더 붙어서 걷는다거나 그런…? 넘 애매한가..ㅠ 더 적극적으로 들이대도 될까..? 나 모솔이라 괜히 더 다가기 겁나는거 있지…",2
"이마트 출장 같이 가자는건 호감표시? 같은 과 여직원이 자기업무땜에 뭐 과자나 살게잇엇나봐 근데 차가 없어서 나보고 내 차타고 같이 이마트 가달래, 근데 솔직히 같이 장보는거는 거의 데이트아님? 이건 나를 어느정도 호감잇어서 그런거지?",0
여자가 남자에게 호감 있어도 자기 체지방 좀 줄이고 보자고 해? 내가 예전에 들이댔던 누나랑 같이 밥 먹고 산책했는데 나는 올해부터 운동해서 체지방 반토막내고 나왔음 근데 누나는 자기말로 지금 역대급 살쪘다고하면서 다음주에 보자고하니깐 자기 채지방 좀 줄이고 다음달에 만나자고 하는데. 이거 신종 거절방법임?,2
저는 남자구요. 연상인 여자동료 A가 있는데 제가 머리자르거나 좀 단정하게 입고오면 그분이 칭찬해주면서 소개팅 안하냐고 항상 묻고 그러곤 햇었습니다. 가끔씩 그분께서 저녁먹자고 연락오기도 했구요. 그러다 동료B 포함해서 셋이서 식사자리 같이했는데 B가 저희보고 솔로니깐 둘이 잘해보라고 짖궃은 농담을 하는데 A분께서 저보고 연상괜찮냐고 장난삼아 물으시더라구요. 부끄러워서 대답은 안했는데 저는 그분께 호감이 있는상태구요. 그분은 어떤마음일까요?,1
여자가 호감 있는지 봐줘 형누나들 난 20대 초중반이고 상대는 연상 직장동료임. 나이 정확히 밝히면 혹시 몰라 이정도만 하고 누나랑 산책하면서 걸을때 먼저 내어깨에 손 올리고 벤치에 앉을때 허벅지터치는 계속하고 가끔 팔짱끼는데 간을 보는건지 꼈다가 조금있다 빼더라고 누나랑 1대1 놀이공원도 갔었고 1대1 밥 카페 영화 드라이브 술집 등 사적으로 6번 이상 만난것 같아. 연락도 자주하고 이정도면 서로 호감 있다고 생각 당연히 하지만 내가 하나 걸리는 건 이 누나가 남사친이 많다는거야. 내 직장이 남초직장이다 보니 당연하다고 생각하는데 다른 남사친이랑도 밥먹고 영화는 봤다고 나한테 솔직하게 얘기한거 봐서는 나도 그냥 남사친부류 인것 같은데 맞지?? 다른 남사친한테는 스킨십 하는지는 모르겠지만 어떤거 같아??,0
방금 미용실 다녀왔는데 타부서 여직원이 머리 하셨네요?이러는데 호감 표현인가요? 방금 머리한건데 보자마자 알길래 신기해서요 저는 남이 머리를 깎던 볶던 관심없고 모르고 말도 안하거든요 신기해서 여쭤봐요,0
"전 남자구요. 간단한 소개를 한다면요. 182에 깔끔하고 스마트하게 생겼습니다. 직장 내에서 유능하다 인정받고 있습니다. 같은 직장에 근무하는 여성분이 있어요. 그분의 마음이 궁금해서요. 조심스럽게 글을 올립니다. 그분은.. 리액션도 좋고, 잘 웃기도 하구요. 도움을 요청하면 잘 도와줍니다. 또, 제가 모임을 주선하면 잘 나오기도 하구요. 주차장에 먼저 도착하더라도 올라가는 타이밍 맞추려는 느낌도 드는데.. 또 저에게 하는 표현이 눈 엄청 높을거 같다. 능력있다. 다 잘하신다 옷 잘 입는다. 인데.. 동료로서 호감 표현인지 아님.. 긍정적 시그널인지 헷갈리네요.",1
스타벅스 갔는데 이정도면 호감 표시? 다 다른날임 머리 하셨네요? 오늘은 아이스 안드세요? 오늘은 샷추가 안하세요? 자주 안오셨네요? 긴가민가해서 써봄,0
1. 만날 때마다 사소한 선물 주려고 함 2. 항상 사람들 많은 곳에서 챙겨줌 3. 뭐하고 있으면 사진 찍어서 보정해서 보내줌 4. 동영상 찍어주면서 귀엽다고 함 5. 같이 차 타고 가다가 졸면 자라고 작은 베개 꺼내 줌 6. 조는데 머리 쓰담쓰담 해줌 7. 내가 좋아하는 음식 위주로 매번 먹이려고 함 8. 항상 옷 잘 어울린다고 칭찬해줌 9. 항상 집이 40분 거린데 와서 기다려주고 데려다줌 10. 다른 사람들이 같은 방향으로 가서 그 차 타고 가면 되는데 자기 차로 데려다줌 11. 한 번 보면 새벽 1-2시까지 6시간 넘게 얘기해도 재밌어함. 새벽 3시까지 서로 차 안에서 얘기한 적 있음. 12. 같이 밥 먹고 2-3시간 걸으면서 얘기함 13. 내가 부정적으로 얘기하면 아니라고 칭찬해줌 14. 옛날에 나 찍은 사진들 보내줌 15. 옛날에 둘이 처음 알게된 당시에 찍힌 사진들 보여줌 16. 밥 잘 챙겨먹으라고 밥 뭐 먹었냐고 매번 물어봄 17. 인스타에서 귀여운 동물들 릴즈 보면 꼭 공유해줌 18. 너 오래 못 보면 그리울거라고 함 안지 5년된 친군데 원래 배려심 많고 착한 친구긴 해 그냥 내가 의미부여하는걸까,2
일단 난 길게 연애하다 최근에 헤어짐 일에 집중할 수 있는 기분이 아니어서 마침 휴가도 남았겠다 지난달에 1주일 내내 휴가쓰고 바람쐬고옴 근데 동료 여직원이 휴가때 먹으라고 뜬금없이 과일바구니를 보내줌 샤인머스캣이 아주 탐스럽게 영글었는데 이거 호감 먹고 자란거지?,1
내가 연애고자라 물어볼게 짝남이 주말에 본인 뭐했는지 사진찍어보내주고 나 생일이라고 선물 보내주는데 이거 호감? 근데 왜 만나자고는 안하지..,1
"이 여자 나한테 호감 있는걸까??? 첨엔 단순히 정규직(나), 계약직(그녀)로 만나게 됐다 맨처음에는 서로 둘다 여친, 남친 있는 사이였음 다른 지점 근무하는 친구라 실물로 본건 1번인데 첨엔 업무적으로 메신저만 하다가 심심해서 이런저런 챗 하면서 취준하는 친구라는걸 알게됐고 예전에 나 취준하던 시절 챙겨주는 사람이 없어 맨땅에 헤딩했던게 생각나서 측은지심에 갠톡으로도 이것저것 많이 알려줬어 그러다가 최근들어 부쩍 연락을 자주하게 됐고 그 친구가 나보고, 자기있는 지점으로 출장나오면 그동안 취준정보 이것저것 많이 챙겨주니까 맛있는거 사준다고도 했어. 서로 헤어진시기도 비슷하다는거 알게됐구 먹는 취향이나 취미같은것도 비슷한게 많아서 그때부터 호감이 생기더라 주말에도, 솔직히 직장상사라도 생각하면 귀찮을법도 한데 답장도 꼬박꼬박해주고 나에대한 질문도 많이 해줘서 주말내내 김칫국 많이 마시고, 내가준 기프티콘으로 커피사먹은 인증샷 남기면서 선톡도 주더랑 오늘 아침에는 그냥 까일수도 있겠지만 그래도 혹여나 하는 마음에, 주말에 서점에 책구경 갈껀데 시간되면 얼굴보고 밥이나 먹을래요? 라고 하니까 의외로 거절없이 흔쾌히 승낙하더라구. 토요일날 만나면 밥먹구 서점갔다가 카페나 보드게임 카페 이런데 갈 생각인데 이정도면 부담스러워 하진 않겠지? 좀더 다가가봐도 괜찮겠지???",2
"0. 알게 된지는 1년 조금 넘었고 개인적으로 연락한지는 3달 됨 0-1어제 포함 지금까지 3번봄 단둘이 만난건 두번 두번 다 걔가 먼저 보자해서 봄 (한번은 그냥 저녁만, 이번엔 영화) 1. 평소에 연락 거의 안함 선톡은 거의 걔가 먼저 하는데 거기서 내가 대화를 이어가려고 하면 반응이 별로 없음 그대로 뚝 끊김 읽씹도 자주함 2. 그러고 발렌타인데이때 아무 연락도 없어서 걍 접었음 3. 그런데 월요일에 갑자기 슬램덩크 봤냐고 물어보길래 안봤다고 했더니 보러가자고 함 4. 그래서 어제 만났음. 영화 시작까지 시간좀 남아서 그냥 걷다가 걔가 인생네컷 찍고싶다 해서 찍음. 5. 그리고 영화 보는데 중반부부터 좀 춥다고 패딩 덮고 있었음, 중간중간 나 쳐다보면서 춥다고 하길래 코트 벗어줄까 생각했는데 롱코트 벗기도 힘들고 상황이 너무 애매해서 일단 넘김 6. 영화 보면서 점점 몸이 가까워지다가 내 어께에 기댐. 너무 급하게 과한 액션 취하긴 좀 그래서 고개만 같이 기울여서 붙어 있었음 (이때 끌어 안았어야 되나?) 7. 영화 끝나고 뭐 재밌었다 얘기하고 저녁 먹으러 감 티켓/ 밥은 내가 사고 팝콘은 걔가 샀음 8. 그리고 서로 인생고민이랑 사는거 대화 하다가 역 도착해서 각자 집감.(둘다 뚜벅이) 데려다 주지는 않았음. 이게 대략적인 정보고 사실 아래가 더 중요한 부분임 [초 중요 포인트] 그 애가 전남친 문제로 자꾸 나한테 말검. 8번에서도 그 얘기 했음 굳이 단 둘이 만나서까지. 전남친이랑 연락을 할까 말까 걔한테 연락 하고싶다 막 그런식인데 헤어지고도 애매한 친구사이로 지내는거 같더라고. 같이 게임 하다가 맨날 또 싸우고 서로 연락 며칠씩 씹다가 다시 먼저 연락 걸고 뭐 맨날 그런식이라는데 먼저 사과를 하니 마니 되게 찌질하게 만나는데 본인도 그걸 알고있는데 끝낼수가 없다고 함 (그걸 왜 나한테...? 나는 또 왜 병신같이 그걸 다 들어주고 있지) 어제 집가서 걔한테 연락 했냐고 물어보니까 화나서 안했대. 뭔가 질투 유발해서 내가 연락하지 말라고 강하게 밀고 가는걸 원하는거 같기도 하고 그런데 그렇다고 걔가 나한테 막 잘 해주는거도 아니라 애매함. 연락이라도 잘 되고 내가 걔가 괜찮은 애로 느껴졌으면 나도 좀 용기를 내볼텐데 맨날 신경쓰이게만 하고 마음에는 안드는 행동이 많음 솔직히 진짜 심리전이라고 해도 이런식으로 심리전 거는것도 딱히 마음에 안드는데 그렇다고 손절하기에도 애매하고 잘 모르겠음",0
"잇팁 남자 너네 호감 표현 어케함? 그냥 퇴근하고 보자해서 카페서 2,3시간 얘기하고 한강 가고 싶다했더니 흔쾌히 같이 가서 산책은 했는데.. 그 후에 연락은 잘 해주지는 않는데.. 잇팁 남자들이 보여주는 호감 시그널 모얌?",2
"그녀의 호의와 호감 구분 방법은? 연락하고 지내는 분이 계신데, 나에 대한 호의인지 나에 대한 호감인지 구분이 안가네요. 거의 매일 연락(까똑)과 1,2주에 한두번의 약속? 내가 똥멍청이라그런가.. 후 방법이 있을까요.",1
"ISTP 남자 너네 호감 표현 어케함? 그냥 퇴근하고 보자해서 카페서 2,3시간 얘기하고 한강 가고 싶다했더니 흔쾌히 같이 가서 산책은 했는데.. 그 후에 연락은 잘 해주지는 않는데.. ISTP 남자들이 보여주는 호감 시그널 모얌?",2
이성 친구랑 계절학기 같이하는데 맨날 같이 피시방가서 게임하거든? 원래 맨날 다른 라인 갔는데 오늘은 갑자기 같은 라인 하고싶다네? 또 갑자기 집에 데려달라고 하네? 이건 그린롸잇트 인가?,1
"나 동아리에 좋아하는 여자가 있는데, 어렵게 경복궁 야간개장 끊어서 어렵게 같이 가자고 했는데, 둘이서 같이 갔거든? 사진도 찍고, 맛있는거 먹고 했어. 그리고 학교에서는 산책도 자주 갔거든? 근데 왜 아무 반응이 없지? 그냥 간건가?",1
"내가 꽃을 좋아하는데, 같이 일하는 직장동료가 경사나 생일같은 이벤트마다 선물로 꽃다발을 주는데 이거 그린라이트인거야?",0
"대학 동기인데 3년동안 데면데면하게 지내다가 4학년 때 같은 수업으로 만나서 옆자리 앉길래 말 텄음. 어느 날 갑자기 영화를 보러 가자고 카톡을 하대? 무슨 영화가 보고 싶냐고 하니까 그냥 영화관 팝콘이 먹고 싶다고 같이 가줄거냐고 하더라고ㅋㅋㅋ 마침 보고 싶던 호러 영화가 나와서 밤에 같이 영화 보고, 끝나고 나와서 걔 버스 타는거 기다려주고 난 집에 돌아옴. 그 이후로 겁나 친해져서 같이 밥도 먹고 과제도 하고 학교 축제도 돌아다니고 했는데, 문득 드는 생각이 이 친구가 나한테 관심이 있어서 나랑 같이 다녀주는건가?",2
직장동료들이랑 지나가면서 좋아하는거 얘기한적이 있거든? 그때 곰인형 얘기를 했었는데 나중에 생일선물로 받았어! 이거 그린라이트야?,0
"나 자취하거든 근데 어제 친구들이랑 늦게까지 술먹었단 말이야. 그런데 이성친구 기숙사 통금시간 걸려서 못들어갔어. 이성친구가 우리집에서 자고가도 되냐고 해서 자고 가라고 했는데, 진짜오고 있어? 나 어떻게 빨리 답변좀.",0
고등학교 때 아침마다 편의점이나 빵집에서 본인 먹을 간식 사오는 친구가 있었어요. 그 친구랑 짝궁이었는데 매일 본인 간식을 반씩 나눠서 제게 먹으라고 주더라구요! 그리고 제가 비타민 같은거 먹는게 있었는데 매일 비타민 먹었냐고 체크도 해주고ㅎㅎ 이건 그린라이트인가요?!,0
항상 이름을 두번씩 부르면서 장난치다가 갑자기 저를 한번만 부르면서 데이트 신청을 하는데 이거 그린라이트인가요,0
봉사활동에서 만났는데 내가 호감 표현하고 만난지 현재까지 7개월 정도됐음 일주일에 2~3번씩보고 전화도 1~2시간씩 일주일에 한번은 하고 당일치기 여행도 자주감 썸녀 차 있어서 맨날 썸녀 차타고 여행감 여행가는것도 썸녀가 가자고해서 가는경우가 대부분 여기까지만 보면 나한테 호감있는거 같은데 도통 속을 모르겠음 카톡 3~4시간에 한번씩하고 사귀자고 하면 계속 자기는 연애할맘 없다고 함 저번에 슬쩍 어깨동무했다가 개정색하고 쌍욕먹음.. 돈 쓰는것도 철저하게 반반함 너무 답답해서 술마실때 물어보니까 그냥 심심해서 만나는거래..남자로 전혀 안보인다는데 이거 대체 무슨 관계인걸까...진짜로 심심해서 나 보는걸까? 남친 없는거는 확실함,0
회사 사람한테 갑자기 뜬금 없이 (사내 어떤 장소)에서 내가 뿌리는 향수 냄새가 난다고 카톡이 옴 그거 시작으로 티키타카 중인데 주말에는 나름 칼답왔고(1시간 이내) 평일 업무 시간인데 틈틈히 답은 오거든? 근데 말투가 퉁명스러워 툭툭 던지는 느낌이야 어제 전화해도 되냐고 하길래 너무 바빠서(업무차 출장) 지금은 안된다구하고 내일하자구 하니까 내일은 싫다더니 오늘 아침 다시 걸었는데 안 받네 진짜 호감이면 안 헷갈리게 하지? 연락은 먼저해놓고 태도가 퉁명스럽고 아쉬움이 없어보여서 이건 먼가 싶네,1
키가 작아서 항상 데이트할대 8cm이상 굽있는거 신는데 썸남이 위피친군데 거기 프로필이 185cm 나는 156임(실제론 더 큰듯) 언제는 내가 휘청거리니까 “제발 나 좀 철렁하게 하지마” 하면서 확 잡아주는데 이 날 집와서 오랜만에 집 와서 겨드랑이 털 밀었다.,1
아가~~꼬기 언제먹을래? 다른남자가 고기 사준다면 가지마 오빤 한우사준다. 오빠 나 힌두교로 바꿔서 고기 못 먹어 미안 오빠한테 거짓말치면 혼나요….ㅎㅎ,0
"친구의 지인을 소개받았는데 (연애 목적 X 그냥 다같이 친구로 모였던 자리) 재밌고 대화 잘 통하길래 이런저런 이야기 나누다가 좀 친해졌고 연락 꾸준히 하다가 어제 내가 술 마셨는데 그 친구가 자기 지금 드라이브 중이라고 12시 즈음에 차로 데리러 와줬거든 근데 난 그냥 가는 길이니까 온 거라고 생각이 드는데, 친구한테 말하니까 놀라더라고… 뭔가 답정너라고 생각이 들수도 있지만 사실 진짜 이성적인? 그런 분위기도 없고 대화도 그냥 동성친구들이랑 이야기 하듯이 말해 옷이나 카페 같은 거… 당사자한테 물어보기엔 좀 민망해서 끄적여봤어",0
"스페인 친구가 집에서 자기 친구들이랑 작게 파티를 한다는거야 너도 올래? 하는데 한국이면 왠만하면 낯선자리 안가지만 난 여기서 친구도 너무 없고 당시 가족들 친구들 없이 외로웠고 너무 심심했었고 그리고 그 미친 유러피안 행정절차들을 미친듯이 와다다하고나니 오히려 다 하고 나서의 그 무력감...에 몇일동안 질려있었다 그리고 나는 친구 사귀는데서 너무 소극적이라는 얘기도 많이 듣고했으니... 고민하다가 잠깐만 있겠다하고 가기로 했다. 솔직히 너무 불안해서 혹시나 어떻게 될까봐 영상까지 찍으면서 감 불안하기도 하고 초행길이라서 이쪽 길 맞냐, 어디쯤이냐, 이 길이냐 계속 물으면서 갔거든 타국에서 남의 집 가는게 무섭기도하고 불안하기도 하고 아무튼 다 와갈때쯤 친구가 베란다에 나가있겠다는거야 부르는 소리에 올려다보니까 그 집 베란다에 친구랑 왠 남자애가 있는거임 그 남자애의 첫인상은... 아직도 잊을수가없음 와 얘가 이런 친구도 있었어?? 였을 정도로 잘생겼었음 그리고 난 밑에서 올려보니까 더 잘생겼고 (연예인인줄...) 그때 여름 해질무렵이였는데 파란색 티셔츠 반바지입고 약간 호기심 어리게 웃고있는 분위기도 너무 귀여웠었음.. 그러고 친구집에 들어갔는데 저는 낯선사람들앞에서 1:n 으로 대화를 휘어잡는 그런 카리스마가 없습니다... 목소리도 작고 숫기도 없어서 많이 걱정했는데 잘생기고 친절하기까지한 친구가 몇시간동안 계속 내 옆에 앉아서 말걸어주고 대화해주었음 (사실 알고보니 그저 낯선사람이랑 얘기하는걸 좋아하는 수다쟁이였다) 거의 걔랑만 얘기했었음 나중에는 나도 슬슬 다른 애들이랑 특히 여자애랑 얘기하고 싶었는데 안보내주는 수준... 사실 내가 안간걸도 걔가 마음에 들었었다 하루 봤을때 괜찮은 얘라고 생각했었다 나는 뭐 금사빠니까, 하루만에 걔가 날 좋아하면 좋겠다는 생각이 들었다. 하지만 보통 그런일은 일어나지 않기에, 날 좋아할바에 바로 옆에 앉아있는 다른 여자애를 좋아하겠지, 라고 생각했다. 마침 친구가 쟤가 저 여자애 좋아하는거 같애라고 하는거다 나는 주제넘게 서운했지만 그저 재미있는 가십을 들은것처럼 같이 낄낄거렸다 (근데 알고보니까 그 여자애 레즈라며... 너는 있다가 나한테 와서는 친구랑 그 여자애랑 둘이 좋아하는거 같애~ 그랬지 ㅡㅡ 니네 둘다 돌아가면서 나한테 왜그랬 아무리 그래도 타향에서 낯선곳에서 너무 늦게 있긴 싫었다 자정이 되기전에 난 굳이굳이 가겠다고 했다(알고보니 자정에 집가는건 스페인 파티에서 있을수없는 일이라고 한다) 왜 가야하냐 계속 붙잡더니 결국엔 잘 가라고 아 그리고 스페인에서는 이렇게 인사하는거라면서 볼맞대는 뽀뽀를 하는거임 여기서 부터 아 이거 개수작일수도있겠다는 생각이 들었지만 모른척하고 와아 그렇냐고 원래 이렇게 인사하는거냐고 파티에 있는 애들이랑 다 볼뽀뽀해주고 감ㅋㅋㅋㅋ 그 파티가있던 날은 토요일이였고 바르셀로나는 일요일마다 무료개방하는곳들이 많다 (박물관, 유료공원, 관광지 등) 내가 나는 내일 관광지 어디를 갈거라고 했다 자기도 가겠다고 한다 그러면서 애들한테 너희들도 갈래? 하고 자기 친구한테 물어본다 애들도 다 긍정적으로 얘기를 했고 내일 만나기로 했다 다음날이 되었는데 내 친구는 술병나서 못나오고 다른애들도 없고 이 남자애 혼자만 덜렁 나와있는거다... 아니 이게 무슨?? 내가 상상한 그림이 아닌데요? 다른 애들은?하고 물어보니까 모르겠대 그래서 어색하지만 둘이서 갔다? 근데 거기가 생각보다 먼거야ㅋㅋ 버스를 계속 갈아타는데 심지어 계속 버스를 놓치고 해서 얘기를 정말 많이 했음 (얘기하느라 버스 놓친거였나봐) 같이 나란히 앉아서 얘기할 시간이 너무 많았음 그날 10시간은 같이 있었던거 같음... 같이 있는게 재밌었고 계속 보는데 괜찮은 애 같았고 그래서 다음에 또 보게되고 그때도 거의 열시간씩 같이 있었고... 그럼 다음에 또 보고... 그런일이 몇번이 반복되고... 어느 순간 주말은 당연히 같이 보내는게 되고... 정신차리니까 내 룸메들도 다 걔를 알고있고... (여담인데 우리집에 자주 드나드는게 그렇고 그런게 아니라 해명하자면 그 때 집은 거의 호스텔 급으로 만인의 집이였고 손님 하루에도 5명씩있고 이틀에 한번 파티 열리는 너도나도 드나드는 그런 집이였다... 과장 좀 하자면 누가 룸메고 누가 손님인지 알아보는데 1달 걸린다ㅠ)썰|작성자 criducoeur",2
"요즘 포켓몬 빵이 유행인지 다들 사먹고 띠뿌띠뿌 씰 사진 올림.. 피카츄, 파이리, 꼬부기, 로켓단 종류도 엄청 많더라.. 동생이 요즘 친구들 사이에서 유행한다고 자기도 먹고 싶다고 사달라는데 집 주변 편의점을 다 돌아봐도 파는데가 안 보여서 사주고 싶어도 못 사줄 거 같다고 거진 포기하고 있었음.. 그냥 빵인데 뭘 그러나 싶기도 하고 ㅋㅋ 그러던 어느날.. 당근마켓 봤는데 1500원짜리가 5천원에 거래되는 거임.. '사재기 해서 용돈벌이 해야되나..?' 인터넷에 포켓몬빵 사는법 검색해봄.. '포켓CU'로 주변 CU에 있는 포켓몬빵 재고를 미리 볼 수 있는 거였음.. 주변 동네 다 확인 해보는데 버스 10분 거리로 서로 반대쪽 편의점 2군데에 재고 2개씩 있다고 뜨네...젠장.. 동생이 당장 사오랜다.. 빵 안 먹으면 안 되냐고 했더니 울먹거리며 안된다고.. 친구들 다 있는데 자기만 포켓몬 스티커 없다고.. 고민하다가 쿨하게 사와준다고 해줌.. 먼저 찾아가는 편의점 어플로 다시 확인했더니 재고가 1개로 줄어드는거임.. 급해져서 버스 내리자마자 뛰어서 편의점 들어가서 빵 매대 뒤짐.. 그런데 포켓몬 빵이 없는 거임.. 다 뒤져봐도 없어서 혹시나 싶어서 직원한테 물어봄.. [사장님 포켓몬 빵 없어요?] 사장님이 웃으면서[조금 전에 마지막 하나 판매됬어요 ^^] 편의점 나와서 어플 보니까 재고 0으로 바뀌어 있음.. 반대 쪽 편의점도 다시 보니까 재고 1로 바뀌어 있음.. 큰 길 나가서 택시 잡고 바로 달림.. 택시 내리고 아차 싶더라.. CU에서 교복 입은 애들이 우루루 나오는데 빵 봉지가 들려 있는 거임... 무지성으로 CU 문 벌컥 열고 미친듯이 빵 매대 뒤짐... 없음.. 포켓몬 빵이 없음... 꿀호떡, 소보루 이런 빵만 가득차있음.. 첨이다.. 빵 하나 못 사서 이렇게 허탈한건.. 물론 사도 의미는 없을거다.. 그러고 편의점에서 나온 후 버스 정류장으로 터덜터덜 걸어 감.. 그런데 진짜 구석에 조그맣게 구멍가게 사이즈로 세븐일레븐이 하나 있는 거.. 설마 저런데 있겠어 하고 반포기 상태로 그냥 문 열고 들어가봄.. 역시나 포켓몬 빵은 없더라.. 그런데 뭔가 알바생이 자꾸 내 눈치를 보는 거임.. 키는 작고 생머린데 눈은 커서 자꾸 이쪽을 흘깃흘깃 쳐다보는게 느껴짐.. '포켓몬 빵을 빼뒀나..?' 그 생각이 들어서 어차피 없겠지 하는 마음으로 물어봄.. [혹시 포켓몬 빵 있어요?] 알바가 눈 깜빡거리면서 올려보더니 뭔가를 슥 꺼냄.. [하나 남아있긴한데.. 혹시 드릴까요..?] 파이리 빵이었음.. 편의점 몇 개를 왔다갔다 하다보니 거진 포기 상태였는데.. 알바가 그걸 꺼내주는데 진짜 후광이 비치는 거임.. 결제하고 고맙다고 하고 가려는데.. 문득 사장이 단골 준다고 빼두라 하는 곳도 있다던데 여기도 그런게 아닌가 싶은 거임.. 그래서 혹시나 괜히 나 땜에 알바생이 사장한테 욕 먹을 거 같아서 조심스레 핸드폰을 내밈.. [사장님이 단골주려고 빼두신 거 아니에요? 혹시 뭐라고 하면 연락주세요. 다시 갖다드릴게요] 알바녀가 핸드폰 받고 당황했는지 얼굴 빨개지.............지는 않았고 감사합니다 하면서 자기 번호 찍어주더라.. 그러고 일 있으면 연락준다고 해서 편의점에서 나옴.. 버스는 안 타고 그냥 걸어가기로 함.. 혹시나 연락 오면 다시 갖다주러 가야하니까.. ㅋㅋ 포켓몬 빵이 뭐라고 이렇게 돌아다니다가 처음 보는 사람 번호도 받아보고 하다보니 뭔가 많이 신기한 느낌임.. 눈도 크고 키도 조그맣고 머리도 긴 알바생 번호를 받는 일이 흔하진 않으니까.. 빵 돌려달라고 연락 안 와도 다음에 그냥 고맙다고 커피나 한 잔 사줘야겠음..",2
군인인데 진료외출 나갔음 진료받고 증빙서류 제출해야 돼서 일반 영수증 받았는데 그거 말고 다른게 있던거야 난 처음이라 몰랐는데 알려주더라고 간호사 “아 보통 이거 제출하시던데 이건 안가져가셔도 돼요?” 나 “아 그게 더 낫겠네요 그것도 주시겠습니까?” 간호사 “안주면 안돼요…ㅎ?” 나 “? 아 그거 없으면 군생활 늘어나는데 주시면 안됩니까?” 나 “앜ㅋㅋ 주시면 안됩니까” 간호사 “ㅋㅋㅋㅋ여기있어요”,0
"썸남이랑 나 썸남옆자리친구((편의상A(( 셋이 친하단말이야? 그래서 썸남 옆자리에 앉아있었어((ㅜ생리통때문에ㅜ 아침에 약도 먹었는데 자꾸 아프더라고.. 책상위에 엎드려서 자려고하는데 A(자리주인)가 갑자기 내머리를 푹 누르는거야.. 잠자는거같길래 더 잘자라고^^ 이런식으로 말하면서ㅋㅋㅋㅋㅋㅋ 근데 배도 아프지, 머리도울리고 쟤가 때렸다?는게 갑자기 억울한거얔ㅋㅋㅋㅋ 자리 앉아서 울고있었는데 썸남이 나한테 오더니 앉은 눈높이를 맞추고는 @@아 왜울어?? 응? 괜찮아? 이러는거야...ㅠㅜㅠㅜㅜ 겁나설레 난 A가 때렸다고 말했지ㅠ 그랬더니 썸남이 A 너 이리와 포스트잇에 잘못한점 1. 2번 써서 제출해 빨리 @@이한테도 사과하고. 진짜ㅠ싫어할수가없어ㅠ",1
